                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6228,                 2.0191,                 2.3596,                0.84226,                0.83324,                0.95432,                0.63381,                 1.3668,                 1.3347,                 2.1405,             0.00086932,             0.00086932,             0.00086932
                     35,                 1.5483,                 2.1062,                  2.285,                0.86467,                0.90107,                0.95586,                0.67351,                 1.1984,                 1.2832,                 2.0648,             0.00086536,             0.00086536,             0.00086536
                     36,                 1.6466,                 2.1588,                 2.3443,                0.87313,                0.89997,                0.93943,                0.66434,                 1.1566,                 1.1645,                 2.0044,              0.0008614,              0.0008614,              0.0008614
                     37,                 1.6358,                 2.0513,                  2.349,                0.69093,                0.81726,                0.93279,                 0.5966,                 1.3355,                 1.3176,                 2.2973,             0.00085744,             0.00085744,             0.00085744
                     38,                 1.6637,                 2.0735,                 2.3422,                0.63484,                0.80587,                0.81532,                 0.5509,                  1.275,                 1.8366,                 2.1829,             0.00085348,             0.00085348,             0.00085348
                     39,                 1.5506,                 1.9557,                 2.2619,                0.76285,                0.85042,                0.86309,                0.58882,                 1.2336,                 1.3611,                 2.0296,             0.00084952,             0.00084952,             0.00084952
                     40,                 1.5397,                 1.9103,                 2.2455,                0.70858,                0.92806,                0.93762,                0.58687,                 1.3406,                 1.4191,                 2.0723,             0.00084556,             0.00084556,             0.00084556
                     41,                  1.516,                 1.8166,                  2.225,                0.79144,                0.85153,                0.87914,                0.59255,                 1.2447,                 1.3405,                 1.9666,              0.0008416,              0.0008416,              0.0008416
                     42,                 1.5045,                 1.8699,                 2.2306,                0.74922,                0.87657,                 0.9658,                0.70625,                 1.1021,                 1.1859,                 1.9062,             0.00083764,             0.00083764,             0.00083764
                     43,                 1.4606,                 1.7977,                 2.1926,                0.76119,                0.76917,                0.91022,                0.63147,                 1.1808,                 1.3469,                  1.931,             0.00083368,             0.00083368,             0.00083368
